АВТОМОБИЛЬ	ССЫЛКА_НА_ФОТО	СТАТУС	ИСТОЧНИК
Hyundai Genesis Coupe	https://commons.wikimedia.org/wiki/Special:FilePath/2010%20Hyundai%20Genesis%20Coupe%203%20--%2008-28-2009.jpg	WIKIDATA	https://www.wikidata.org/entity/Q483491
Chevrolet SSR	https://commons.wikimedia.org/wiki/Special:FilePath/Chevrolet%20SSR.jpg	WIKIDATA	https://www.wikidata.org/entity/Q282151
Tata Manza	https://commons.wikimedia.org/wiki/Special:FilePath/Geneva%20MotorShow%202013%20-%20Tata%20Manza.jpg	WIKIDATA	https://www.wikidata.org/entity/Q17149158
Proton Satria	https://commons.wikimedia.org/wiki/Special:FilePath/1997%20Proton%20Satria%20%28C90%29%20XLi%20hatchback%20%2825815361420%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2113762
Peugeot 206	https://commons.wikimedia.org/wiki/Special:FilePath/2002%20Peugeot%20206%20LX%201.4%20Front.jpg	WIKIDATA	https://www.wikidata.org/entity/Q207976
Citroën Berlingo électrique	https://commons.wikimedia.org/wiki/Special:FilePath/Elcidislarochelle.jpg	WIKIDATA	https://www.wikidata.org/entity/Q5122855
Mitsubishi Colt CZC	https://commons.wikimedia.org/wiki/Special:FilePath/Mitsubishi%20Colt%20CZC%20front%2020080701.jpg	WIKIDATA	https://www.wikidata.org/entity/Q37474
Hyundai Getz	https://commons.wikimedia.org/wiki/Special:FilePath/Hyundai%20Getz%20%28first%20generation%29%20%28front%29%2C%20Serdang.jpg	WIKIDATA	https://www.wikidata.org/entity/Q482462
Chevrolet Agile	https://commons.wikimedia.org/wiki/Special:FilePath/Chevrolet%20Agile%20front.JPG	WIKIDATA	https://www.wikidata.org/entity/Q1071037
Tata Nano	https://commons.wikimedia.org/wiki/Special:FilePath/Tata%20-%20Nano%20-%20Kolkata%202011-09-15%205184.JPG	WIKIDATA	https://www.wikidata.org/entity/Q152238
Proton Satria Neo	https://commons.wikimedia.org/wiki/Special:FilePath/Proton%20Satria%20Neo%2C%20Kuala%20Lumpur.jpg	WIKIDATA	https://www.wikidata.org/entity/Q11827968
Toyota 1600GT	https://commons.wikimedia.org/wiki/Special:FilePath/1967%20Toyota%201600GT%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q11321583
Ford Sierra	https://commons.wikimedia.org/wiki/Special:FilePath/Ford%20Sierra%20Bj.%20ca%201985%20photo%20Schaffen%20Diest%202017.jpg	WIKIDATA	https://www.wikidata.org/entity/Q366912
Honda 1300	https://commons.wikimedia.org/wiki/Special:FilePath/1300%2099s.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1626471
Nissan 180SX	https://commons.wikimedia.org/wiki/Special:FilePath/1990%20240sx%20Quarter%20View.JPG	WIKIDATA	https://www.wikidata.org/entity/Q1063020
Mazda 121	https://commons.wikimedia.org/wiki/Special:FilePath/Mazda%20121%20front%2020071019.jpg	WIKIDATA	https://www.wikidata.org/entity/Q268800
Jeep Cherokee	https://commons.wikimedia.org/wiki/Special:FilePath/Jeep%20Cherokee%20front%20%282008%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2298934
Volvo 140 Series	https://commons.wikimedia.org/wiki/Special:FilePath/Volvo%20144%20%28front%29%2C%20Kuala%20Lumpur.jpg	WIKIDATA	https://www.wikidata.org/entity/Q598404
GMC Acadia	https://commons.wikimedia.org/wiki/Special:FilePath/2024%20GMC%20Acadia%20Denali%20front%20view.jpg	WIKIDATA	https://www.wikidata.org/entity/Q936505
Buick Apollo	https://commons.wikimedia.org/wiki/Special:FilePath/1973%20Buick%20Apollo.jpg	WIKIDATA	https://www.wikidata.org/entity/Q914061
Pontiac 2+2	https://commons.wikimedia.org/wiki/Special:FilePath/1966%20Pontiac%202%2B2%20%2829666833742%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q7228211
Isuzu 117 Coupé	https://commons.wikimedia.org/wiki/Special:FilePath/Isuzu%20117%20coupe%20001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q993674
SsangYong Actyon	https://commons.wikimedia.org/wiki/Special:FilePath/SSANGYONG%20ACTYON%20China%20%283%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q116644
Chery A1	https://commons.wikimedia.org/wiki/Special:FilePath/2012%20Chery%20A113%20%28A1%29%2C%20front%208.8.18.jpg	WIKIDATA	https://www.wikidata.org/entity/Q221892
Geely BL	https://commons.wikimedia.org/wiki/Special:FilePath/Beauty%20Leopard.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3270667
Great Wall Coolbear	https://commons.wikimedia.org/wiki/Special:FilePath/2010%20Great%20Wall%20Coolbear%20%28front%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1544386
Haval H1	https://commons.wikimedia.org/wiki/Special:FilePath/Great%20Wall%20Haval%20M4%2001%20China%202012-06-02.jpg	WIKIDATA	https://www.wikidata.org/entity/Q16687853
BYD e6	https://commons.wikimedia.org/wiki/Special:FilePath/SIN%20BYD%20e6%20SNF4771J%202023-10-26.jpg	WIKIDATA	https://www.wikidata.org/entity/Q728323
Volkswagen Amarok	https://commons.wikimedia.org/wiki/Special:FilePath/Volkswagen%20Amarok%20Mk2%20Auto%20Zuerich%202023%201X7A1337.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1027973
Toyota 2000GT	https://commons.wikimedia.org/wiki/Special:FilePath/TOYOTA%202000GT.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1324772
Honda 145	https://commons.wikimedia.org/wiki/Special:FilePath/Honda145.jpg	WIKIDATA	https://www.wikidata.org/entity/Q9293514
Mazda 1500	https://commons.wikimedia.org/wiki/Special:FilePath/Mazda-LUCE-1st-generation01.JPG	WIKIDATA	https://www.wikidata.org/entity/Q1656429
Jeep Cherokee (KL)	https://commons.wikimedia.org/wiki/Special:FilePath/2019%20Jeep%20Cherokee%20Latitude%20front%205.27.18.jpg	WIKIDATA	https://www.wikidata.org/entity/Q6172906
Volvo 145	https://commons.wikimedia.org/wiki/Special:FilePath/Volvo145%20%2812369134384%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q5482609
Chrysler 200	https://commons.wikimedia.org/wiki/Special:FilePath/2015%20Chrysler%20200%20Limited%202.4L%20front%201.27.18.jpg	WIKIDATA	https://www.wikidata.org/entity/Q978705
GMC Canyon	https://commons.wikimedia.org/wiki/Special:FilePath/2023%20GMC%20Canyon%20AT4%2C%20front%208.26.23.jpg	WIKIDATA	https://www.wikidata.org/entity/Q12063229
Buick Bengal	https://commons.wikimedia.org/wiki/Special:FilePath/2001%20Buick%20Bengal%20concept.jpg	WIKIDATA	https://www.wikidata.org/entity/Q4986350
Isuzu Ascender	https://commons.wikimedia.org/wiki/Special:FilePath/Isuzu-Ascender-5pass.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1674938
SsangYong Chairman	https://commons.wikimedia.org/wiki/Special:FilePath/Ssangyong%20Chairman%20CW%20700%202008%20%2810108605325%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1195172
Chery A11	https://commons.wikimedia.org/wiki/Special:FilePath/Chery%20SQR7160%20Windcloud.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2335231
Geely Borui	https://commons.wikimedia.org/wiki/Special:FilePath/Geely%20Borui%20001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q20072234
Great Wall Cowry	https://commons.wikimedia.org/wiki/Special:FilePath/Great%20Wall%20Cowry%202008%20%2812469043235%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3115976
Haval H5	https://commons.wikimedia.org/wiki/Special:FilePath/Great%20Wall%20Haval%20H5%202.4L%204WD%202010.jpg	WIKIDATA	https://www.wikidata.org/entity/Q5600133
BYD F0	https://commons.wikimedia.org/wiki/Special:FilePath/BYD%20F0%20facelift%20--%20Auto%20China%20--%202014-04-23.jpg	WIKIDATA	https://www.wikidata.org/entity/Q616740
Mini (MkI)	https://commons.wikimedia.org/wiki/Special:FilePath/1963%20MkI%20Mini.jpg	WIKIDATA	https://www.wikidata.org/entity/Q6865001
Rover 100 series	https://commons.wikimedia.org/wiki/Special:FilePath/Rover%20111%20front%2020070924.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1752779
Mercury Caliente	https://commons.wikimedia.org/wiki/Special:FilePath/1964%20Mercury%20Comet%20Caliente.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1921523
Plymouth Barracuda	https://commons.wikimedia.org/wiki/Special:FilePath/%2770%20Plymouth%20Barracuda%20%28%2711%20Auto%20classique%20VAQ%20Mont%20St-Hilaire%29.JPG	WIKIDATA	https://www.wikidata.org/entity/Q594930
Holden Adventra	https://commons.wikimedia.org/wiki/Special:FilePath/2005-2006%20Holden%20Adventra%20%28VZ%29%20SX6%20station%20wagon%2C%20Ten%20Eyewitness%20News%20%282008-03-09%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q783655
Volkswagen Apollo	https://commons.wikimedia.org/wiki/Special:FilePath/Apollo%20guilherme.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2506904
Toyota 4Runner	https://commons.wikimedia.org/wiki/Special:FilePath/Toyota%204Runner%202.4T%20SR5%202025.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1342063
Ford EcoSport	https://commons.wikimedia.org/wiki/Special:FilePath/2018%20Ford%20EcoSport%20ST-Line%201.0%20%281%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q338888
Honda Accord	https://commons.wikimedia.org/wiki/Special:FilePath/Honda%20Accord%20Hybrid%20Touring%20CY2%20Urban%20Gray%20Pearl%20%285%29%20%28cropped%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q463632
Nissan 240SX	https://commons.wikimedia.org/wiki/Special:FilePath/1989-1990%20Nissan%20240SX.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3274515
Mazda 323	https://commons.wikimedia.org/wiki/Special:FilePath/1980%20Mazda%20Familia%201.5%20XG%20%28BD%29%20at%20the%20TMS%202009-1.JPG	WIKIDATA	https://www.wikidata.org/entity/Q513292
Subaru 360	https://commons.wikimedia.org/wiki/Special:FilePath/1958%20Subaru%20360%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q738269
Jeep Cherokee (XJ)	https://commons.wikimedia.org/wiki/Special:FilePath/Jeep%20Cherokee%20front%2020070928.jpg	WIKIDATA	https://www.wikidata.org/entity/Q8271454
Volvo 164	https://commons.wikimedia.org/wiki/Special:FilePath/Volvo%20164.jpg	WIKIDATA	https://www.wikidata.org/entity/Q948957
Buick Skyhawk	https://commons.wikimedia.org/wiki/Special:FilePath/Buick%20Skyhawk%204-door%20white.jpg	WIKIDATA	https://www.wikidata.org/entity/Q195318
Pontiac Astre	https://commons.wikimedia.org/wiki/Special:FilePath/73%20Astre.jpg	WIKIDATA	https://www.wikidata.org/entity/Q39215
Isuzu Aska	https://commons.wikimedia.org/wiki/Special:FilePath/1997%20Isuzu%20Aska%20sedan%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1275794
SsangYong Istana	https://commons.wikimedia.org/wiki/Special:FilePath/00%20SsangYong%20istana%201.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1151547
Chery A13	https://commons.wikimedia.org/wiki/Special:FilePath/28%C2%BA%20Sal%C3%A3o%20Internacional%20do%20Autom%C3%B3vel%20de%20S%C3%A3o%20Paulo%20-%202014%20%2815543340217%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1070495
Geely CD	https://commons.wikimedia.org/wiki/Special:FilePath/Geely%20Beauty%20Leopard%20at%20IAA%202005.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1497679
Haval H6	https://commons.wikimedia.org/wiki/Special:FilePath/Havalh666-e1678218268854.jpg	WIKIDATA	https://www.wikidata.org/entity/Q12064314
BYD F3	https://commons.wikimedia.org/wiki/Special:FilePath/BYD%20Surui%20Sanming%2001%202022-08-12.jpg	WIKIDATA	https://www.wikidata.org/entity/Q797218
Mini Clubman	https://commons.wikimedia.org/wiki/Special:FilePath/Mini%20clubman.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2342984
Mercury Capri	https://commons.wikimedia.org/wiki/Special:FilePath/1971%20Mercury%20Capri%20%2829776067015%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q887416
Plymouth Belmont	https://commons.wikimedia.org/wiki/Special:FilePath/Plymouth%20Belmont%20%284261739024%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q7205767
Holden Apollo	https://commons.wikimedia.org/wiki/Special:FilePath/1995%20Holden%20Apollo%20%28JM%29%20SLX%20sedan%20%282016-01-04%29%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1514821
Toyota 86	https://commons.wikimedia.org/wiki/Special:FilePath/Subaru%20BRZ%20%2C%20Toronto.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1138779
Ford Scorpio	https://commons.wikimedia.org/wiki/Special:FilePath/Ford%20Scorpio%20front%2020080214.jpg	WIKIDATA	https://www.wikidata.org/entity/Q386201
Honda Accord (1997)	https://commons.wikimedia.org/wiki/Special:FilePath/Honda%20Accord%20CL3%20europe.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1626473
Subaru Alcyone SVX	https://commons.wikimedia.org/wiki/Special:FilePath/1996%20Subaru%20SVX%20in%20Polo%20Green%20Pearl%2C%20front%20left.jpg	WIKIDATA	https://www.wikidata.org/entity/Q609454
Jeep CJ	https://commons.wikimedia.org/wiki/Special:FilePath/Jeep-CJ.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1512553
Chrysler 300	https://commons.wikimedia.org/wiki/Special:FilePath/Chrysler%20300%20SRT8%20%28LX%29%20Washington%20DC%20Metro%20Area%2C%20USA.jpg	WIKIDATA	https://www.wikidata.org/entity/Q390055
GMC Denali XT	https://commons.wikimedia.org/wiki/Special:FilePath/GMC%20Denali%20XT%20NY.jpg	WIKIDATA	https://www.wikidata.org/entity/Q5513734
Buick Centurion	https://commons.wikimedia.org/wiki/Special:FilePath/1972%20Buick%20Centurion%20Formal%20Coupe%2C%20front%20left%20%282022%20Back%20to%20the%2050%27s%20Weekend%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q910477
Pontiac Aztek	https://commons.wikimedia.org/wiki/Special:FilePath/2003%20Pontiac%20Aztek%20AWD%2C%2008-23-2024.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2103830
Isuzu Axiom	https://commons.wikimedia.org/wiki/Special:FilePath/Isuzu-Axiom.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1674937
SsangYong Korando	https://commons.wikimedia.org/wiki/Special:FilePath/Ssangyong%20Korando%20e-Motion%20IMG%206214.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1202300
Chery A15	https://commons.wikimedia.org/wiki/Special:FilePath/Chery%20A15.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1070492
Geely CK	https://commons.wikimedia.org/wiki/Special:FilePath/Geely%20CK%20Cuba.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1497711
Great Wall Florid	https://commons.wikimedia.org/wiki/Special:FilePath/GreatWall%20FLorid.JPG	WIKIDATA	https://www.wikidata.org/entity/Q1544393
BYD F3DM	https://commons.wikimedia.org/wiki/Special:FilePath/Bilbao%2005%202012%20BYD%20F3DM%202438.JPG	WIKIDATA	https://www.wikidata.org/entity/Q631892
Mini Cooper	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/2021_Mini_Hatch_%28F56%29_John_Cooper_Works_1X7A0150.jpg/1280px-2021_Mini_Hatch_%28F56%29_John_Cooper_Works_1X7A0150.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	COMMONS	https://commons.wikimedia.org/wiki/File:2021_Mini_Hatch_(F56)_John_Cooper_Works_1X7A0150.jpg
Saab 9-2X	https://commons.wikimedia.org/wiki/Special:FilePath/Saab9-2x%20iota.jpg	WIKIDATA	https://www.wikidata.org/entity/Q420573
Holden Astra	https://commons.wikimedia.org/wiki/Special:FilePath/2005%20Holden%20Astra%20%28AH%20MY05%29%20CD%205-door%20hatchback%20%282015-08-07%29%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1030898
Volkswagen Bora	https://commons.wikimedia.org/wiki/Special:FilePath/2016%20FAW-Volkswagen%20Bora.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1417237
Toyota Vellfire	https://commons.wikimedia.org/wiki/Special:FilePath/Toyota%20Vellfire%202.5%20%28IV%29%20%E2%80%93%20f%2022032025.jpg	WIKIDATA	https://www.wikidata.org/entity/Q385463
Honda Accord Euro R	https://commons.wikimedia.org/wiki/Special:FilePath/IHonda%20Accord-EuroR%20CL1%200098.JPG	WIKIDATA	https://www.wikidata.org/entity/Q11338232
Nissan 300ZX	https://commons.wikimedia.org/wiki/Special:FilePath/1992%20Nissan%20300ZX%20Turbo.jpg	WIKIDATA	https://www.wikidata.org/entity/Q13218302
Subaru Baja	https://commons.wikimedia.org/wiki/Special:FilePath/Subaru%20Baja%20DSC%202966.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1425161
Chrysler 300M	https://commons.wikimedia.org/wiki/Special:FilePath/Chrysler%20300M.jpg	WIKIDATA	https://www.wikidata.org/entity/Q617415
GMC Envoy	https://commons.wikimedia.org/wiki/Special:FilePath/GMC--Envoy.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1485939
SsangYong Korando Family	https://commons.wikimedia.org/wiki/Special:FilePath/Ssangyong%20Korando%20Family%20RX%20260%201995.jpg	WIKIDATA	https://www.wikidata.org/entity/Q12072562
Chery A3	https://commons.wikimedia.org/wiki/Special:FilePath/Chery%20A3%20at%20the%202010%20Guangzhou%20Motorshow.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1070471
Geely Emgrand EC7	https://commons.wikimedia.org/wiki/Special:FilePath/Emgrand%20EC7%2001%20China%202012-04-15.jpg	WIKIDATA	https://www.wikidata.org/entity/Q391251
Great Wall Haval H3	https://commons.wikimedia.org/wiki/Special:FilePath/Great%20wall%20hover.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1544394
BYD F3R	https://commons.wikimedia.org/wiki/Special:FilePath/BYD%20F3R%20automobile.jpg	WIKIDATA	https://www.wikidata.org/entity/Q797216
MG 3	https://commons.wikimedia.org/wiki/Special:FilePath/MG%203%20%283rd%20generation%29%20Automesse%20Ludwigsburg%202024%20IMG%201571%20%28cropped%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q772854
Mini Countryman	https://commons.wikimedia.org/wiki/Special:FilePath/Mini%20Countryman%20%28U25%29%20John%20Cooper%20Works%20IMG%200034.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1578941
Saab 9-3	https://commons.wikimedia.org/wiki/Special:FilePath/Saab%209-3%20Aero%20MY14%2002.jpg	WIKIDATA	https://www.wikidata.org/entity/Q420807
Oldsmobile Achieva	https://commons.wikimedia.org/wiki/Special:FilePath/1997%20Oldsmobile%20Achieva%20SL.png	WIKIDATA	https://www.wikidata.org/entity/Q932527
Plymouth Breeze	https://commons.wikimedia.org/wiki/Special:FilePath/Plymouth%20Breeze%20.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1290516
Holden Barina	https://commons.wikimedia.org/wiki/Special:FilePath/2018%20Holden%20Barina%20%28TM%20MY18%29%20LS%20hatchback%20%282018-10-22%29%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1624340
Volkswagen Bora (2007)	https://commons.wikimedia.org/wiki/Special:FilePath/Volkswagen%20Bora%20CN%20II%2001%20China%202012-05-20.jpg	WIKIDATA	https://www.wikidata.org/entity/Q12072925
Honda Acty	https://commons.wikimedia.org/wiki/Special:FilePath/HondaActy4th.jpg	WIKIDATA	https://www.wikidata.org/entity/Q654449
Nissan 350Z	https://commons.wikimedia.org/wiki/Special:FilePath/2003%20Nissan%20350Z%20%28Z33%29%20Track%20coupe%20%2819471915930%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q269036
Mazda 323 GTR	https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Mazda_323_GTR_-_VHRS_-_ES5_-_Rallye_de_l%27Ard%C3%A8che_2024.jpg/1280px-Mazda_323_GTR_-_VHRS_-_ES5_-_Rallye_de_l%27Ard%C3%A8che_2024.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	COMMONS	https://commons.wikimedia.org/wiki/File:Mazda_323_GTR_-_VHRS_-_ES5_-_Rallye_de_l%27Ard%C3%A8che_2024.jpg
Subaru BRAT	https://commons.wikimedia.org/wiki/Special:FilePath/1994%20Subaru%20284%204WD%20pickup%20BRAT%20%2815958639684%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2598667
Jeep Comanche	https://commons.wikimedia.org/wiki/Special:FilePath/Jeep-Comanche-Pioneer.jpg	WIKIDATA	https://www.wikidata.org/entity/Q6138797
Volvo 262C	https://commons.wikimedia.org/wiki/Special:FilePath/Silver%20volvo%20262%20front.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1417558
GMC Granite	https://commons.wikimedia.org/wiki/Special:FilePath/GMC%20Granite%20concept%20--%202010%20DC.jpg	WIKIDATA	https://www.wikidata.org/entity/Q5513735
Buick Electra	https://commons.wikimedia.org/wiki/Special:FilePath/1965%20Buick%20Electra%20225%20%2825674105731%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1002748
Pontiac Bonneville	https://commons.wikimedia.org/wiki/Special:FilePath/%2764%20Pontiac%20Bonneville%20Coupe%20%28Centropolis%20Laval%20%2710%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q83558
SsangYong Korando Sports	https://commons.wikimedia.org/wiki/Special:FilePath/SsangYong%20SUT%201%2C%202011.jpg	WIKIDATA	https://www.wikidata.org/entity/Q4050002
Chery A5	https://commons.wikimedia.org/wiki/Special:FilePath/Chery%20A5%20China%202012-05-01.JPG	WIKIDATA	https://www.wikidata.org/entity/Q1070482
Geely GC7	https://commons.wikimedia.org/wiki/Special:FilePath/Geely%20GC7%201.5%20GL%202016%20%2833502994981%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q12064270
Great Wall Peri	https://commons.wikimedia.org/wiki/Special:FilePath/Great%20Wall%20Peri.jpg	WIKIDATA	https://www.wikidata.org/entity/Q403651
BYD F6	https://commons.wikimedia.org/wiki/Special:FilePath/BYD%20F6%20Sanming%2001%202022-07-20.jpg	WIKIDATA	https://www.wikidata.org/entity/Q5832821
MG 350	https://commons.wikimedia.org/wiki/Special:FilePath/Roewe%20350%20China%202012-05-01.JPG	WIKIDATA	https://www.wikidata.org/entity/Q174414
Mini Coupé and Roadster	https://commons.wikimedia.org/wiki/Special:FilePath/2012%20Mini%20John%20Cooper%20Works%20Coupe%20--%2011-26-2011%20front.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3858405
Saab 9-3 Cabriolet	https://commons.wikimedia.org/wiki/Special:FilePath/1st-Saab-9-3-Convertible.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3460381
Rover 200	https://commons.wikimedia.org/wiki/Special:FilePath/1998.rover.200.arp.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1857228
Mercury Commuter	https://commons.wikimedia.org/wiki/Special:FilePath/MERCURY%20COMMUTER%20dutch%20licence%20registration%20AM-75-80%20pic1.JPG	WIKIDATA	https://www.wikidata.org/entity/Q3855086
Oldsmobile Aerotech	https://commons.wikimedia.org/wiki/Special:FilePath/OldsAerotech.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3881544
Holden Brougham	https://commons.wikimedia.org/wiki/Special:FilePath/1968-1969%20Holden%20HK%20Brougham%20sedan%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q913680
Volkswagen Bora (China)	https://commons.wikimedia.org/wiki/Special:FilePath/2019%20FAW-Volkswagen%20Bora.jpg	WIKIDATA	https://www.wikidata.org/entity/Q10392360
Honda Airwave	https://commons.wikimedia.org/wiki/Special:FilePath/2005-2008%20Honda%20Airwave.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3134093
Nissan 370Z	https://commons.wikimedia.org/wiki/Special:FilePath/Nismo%20370Z%20DSC%208254.jpg	WIKIDATA	https://www.wikidata.org/entity/Q936668
Mazda 323F	https://commons.wikimedia.org/wiki/Special:FilePath/Mazda%20323F%20Astina%20%2812164820634%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3354475
Subaru BRZ	https://commons.wikimedia.org/wiki/Special:FilePath/Subaru%20BRZ%20%28ZD8%29%20IMG%200771.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3502403
Jeep Commander	https://commons.wikimedia.org/wiki/Special:FilePath/Jeep%20Commander%204.7%20Limited%202006%20%2810318160225%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1563979
Dodge 330	https://commons.wikimedia.org/wiki/Special:FilePath/Dodge%20330%20Model.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2768484
Buick Envision	https://commons.wikimedia.org/wiki/Special:FilePath/Buick%20Envision%20Plus%20IMG001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q17461003
Pontiac Can Am	https://commons.wikimedia.org/wiki/Special:FilePath/3%20Can%20Ams%20at%20Norwalk%2030th%20Anniv.JPG	WIKIDATA	https://www.wikidata.org/entity/Q7228224
SsangYong Kyron	https://commons.wikimedia.org/wiki/Special:FilePath/SsangYong%20Kyron%20Facelift.JPG	WIKIDATA	https://www.wikidata.org/entity/Q1147961
Chery E5	https://commons.wikimedia.org/wiki/Special:FilePath/Chery%20E5%202%20China%202015-04-21.jpg	WIKIDATA	https://www.wikidata.org/entity/Q5092669
Geely GE	https://commons.wikimedia.org/wiki/Special:FilePath/Geely%20GE%20concept%20car%20-%20Auto%20Shanghai%202011.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3100086
BYD F6DM	https://commons.wikimedia.org/wiki/Special:FilePath/BYD%20F6DM.jpg	WIKIDATA	https://www.wikidata.org/entity/Q797228
MG 5	https://commons.wikimedia.org/wiki/Special:FilePath/MG%205%2001%20China%202012-04-14.JPG	WIKIDATA	https://www.wikidata.org/entity/Q4043416
Mini E	https://commons.wikimedia.org/wiki/Special:FilePath/Mini%20E%20--%202010%20DC.jpg	WIKIDATA	https://www.wikidata.org/entity/Q6865039
Saab 9-3 Sport-Hatch	https://commons.wikimedia.org/wiki/Special:FilePath/Saab%209-3%20Sport%20Combi%20Vector%201.9%20TiD.JPG	WIKIDATA	https://www.wikidata.org/entity/Q3460382
Rover 200 Coupé	https://commons.wikimedia.org/wiki/Special:FilePath/Rover%20Coup%C3%A8.jpg	WIKIDATA	https://www.wikidata.org/entity/Q7371684
Mercury Cougar	https://commons.wikimedia.org/wiki/Special:FilePath/1997%20Mercury%20Cougar%20XR7%20Sport%20in%20Silver%20Frost.jpg	WIKIDATA	https://www.wikidata.org/entity/Q764093
Oldsmobile Alero	https://commons.wikimedia.org/wiki/Special:FilePath/Oldsmobile%20Alero%20sedan%20--%2003-16-2012.JPG	WIKIDATA	https://www.wikidata.org/entity/Q964261
Holden Camira	https://commons.wikimedia.org/wiki/Special:FilePath/1987%20Holden%20Camira%20%28JD%29%20SLE%20sedan%20%282015-07-14%29%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q915531
Toyota AE	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/TOYOTA_AE_86_%281983%29.jpg/1280px-TOYOTA_AE_86_%281983%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	COMMONS	https://commons.wikimedia.org/wiki/File:TOYOTA_AE_86_(1983).jpg
